"Ticker","Nome","Negócios","Última (R$)","Variação"
"HETA4","Hercules","1.100","6,24","+0,16%"
"EQMA3B","Equatorial Maranhão","900","23,36","-0,60%"
"TELB3","Telebras","900","13,00","+0,00%"
"CPLE5","Copel","900","11,80","+14,12%"
"BAHI3","Bahema","900","4,65","-4,91%"
"CEDO3","Cedro Têxtil","700","25,50","-1,92%"
"CRPG5","Tronox Pigmentos","600","24,60","-0,24%"
"FHER3","Fertilizantes Heringer","600","3,64","-0,27%"
"PLAS3","Plascar","500","6,00","+0,00%"
"EKTR4","Elektro","400","42,71","-6,03%"
"TRPL3","Transmissão Paulista","400","30,63","+0,39%"
"RPAD5","Alfa Holdings","400","7,26","+0,00%"
"RSUL4","Metalúrgica Riosulense","300","60,42","+0,87%"
"CEEB3","COELBA","300","38,44","-0,16%"
"CGRA3","Grazziotin","300","24,79","+0,00%"
"EUCA3","Eucatex","300","15,95","-0,93%"
"MWET4","Wetzel","300","11,31","-8,57%"
"PTNT3","Pettenati","300","9,24","-0,54%"
"NORD3","Nordon","300","7,76","+5,43%"
"CTSA4","Santanense","300","1,14","+10,68%"
"FRIO3","Metalfrio","200","153,00","+2,68%"
"WLMM4","WLM","200","29,83","+0,00%"
"TEKA4","Teka","200","28,20","+6,66%"
"EALT3","Electro Aço Altona","200","15,39","+2,67%"
"BSLI3","Banco de Brasília","200","8,83","+1,38%"
"PSVM11","PORTO VM","200","5,34","-1,11%"
"PPLA11","PPLA","137","2,04","-2,39%"
"BNBR3","Banco do Nordeste","100","94,02","-5,82%"
"MRSA3B","MRS Logística","100","30,00","+0,00%"
"GEPA4","Rio Paranapanema Energia","100","29,75","+0,00%"
"PATI3","Panatlântica","100","29,00","+3,57%"
"BRSR5","Banrisul","100","17,94","+6,72%"
"MNDL3","Mundial","100","15,82","+0,00%"
"LUXM4","Trevisa","100","12,39","-0,80%"
"FIEI3","Fica","100","11,00","+7,32%"
"BALM4","Baumer","100","10,50","+0,00%"
"MWET3","Wetzel","100","9,53","+1,28%"
"BDLL4","Bardella","100","9,00","+1,12%"
"BSLI4","Banco de Brasília","100","8,20","-5,53%"
"MGEL4","Mangels","100","8,00","+0,00%"
"NEXP3","Brasil Brokers","100","4,50","+1,12%"
"BIOM11","Biomm","100","0,77","+0,00%"
"EMAE3","EMAE","10.500","58,21","-14,14%"
"CTSA3","Santanense","3.000","2,08","+0,48%"
"BMEB3","Banco Mercantil do Brasil","500","37,01","+0,03%"
"UNIP5","Unipar","400","47,47","-1,92%"
"PEAB3","Participações Aliança da Bahia","400","42,80","+0,00%"
"BGIP4","Banese","300","23,38","+0,09%"
